Productor.C.254	Est1	Est2	Est3	Est4	Est5	Est6	Est7	Est8	Est9	Est10	Est11	Est12	Est13	Est14	Est15	Est16
26	4	6	6	5	7	7	6	6	9	9	8	8	8	7	6	6	
21	6	6	6	6	6	6	6	8	8	8	7	7	6	6	6	5	
3	5	4	4	4	4	4	4	4	5	5	5	4	4	4	4	4	
7	3	3	3	2	3	3	3	3	3	3	3	3	4	4	4	4	
22	8	7	7	7	7	7	7	7	6	6	5	5	6	7	9	8	
6	8	6	5	5	5	5	5	6	8	8	7	6	7	6	7	6	
40	7	7	7	7	6	6	6	6	7	7	6	6	7	6	5	5	
34	8	10	9	8	7	6	6	7	6	5	5	7	7	9	8	8	
13	7	8	8	7	8	7	7	6	8	8	8	7	7	7	7	7	
29	3	6	5	5	4	4	4	4	5	5	4	3	3	4	4	4	
39	10	9	8	7	7	7	7	6	9	9	8	8	8	8	8	9	
28	11	12	11	9	10	9	10	8	10	9	7	6	8	9	7	7	
38	13	13	13	10	9	8	8	9	11	11	11	11	11	9	10	10	
4	9	9	9	7	7	7	7	8	10	8	8	9	9	8	8	9	
16	9	10	10	8	8	7	7	8	8	8	7	7	9	9	10	8	
27	9	11	10	9	8	7	8	9	8	8	7	7	8	8	7	7	
37	7	8	7	8	10	9	9	9	8	8	8	8	8	9	7	7	
10	8	9	8	8	9	9	9	8	9	8	8	8	8	9	9	7	
14	6	8	7	6	6	6	6	7	6	6	6	4	4	4	4	5	
2	7	6	5	5	5	5	5	4	5	5	5	5	6	6	6	5	
19	9	9	9	7	6	6	6	5	6	7	6	6	7	7	8	7	
32	8	8	7	7	6	6	6	6	7	7	8	8	8	8	7	7	
33	7	9	8	9	9	9	8	7	8	8	8	7	7	6	5	5	
11	6	7	7	6	8	8	7	6	7	7	7	8	8	7	8	8	
8	8	7	7	6	8	8	7	9	9	9	7	7	8	8	7	7	
23	10	10	10	9	11	9	8	8	7	6	5	5	8	8	8	7	
1	5	6	6	5	6	6	5	5	6	6	6	6	6	6	6	6	
36	8	7	7	7	9	8	8	6	5	5	5	6	8	8	8	6	
24	9	9	8	8	9	9	9	10	7	6	7	6	7	7	7	8	
30	7	7	7	6	7	7	6	6	7	6	6	6	6	6	6	5	
15	8	9	9	8	9	9	9	8	9	8	9	7	8	8	7	7	
31	6	9	8	6	6	6	5	5	7	7	8	9	8	9	8	9	
35	10	9	9	9	8	8	9	8	10	10	8	8	8	7	8	9	
17	7	7	6	6	6	6	6	6	5	5	4	4	6	6	5	6	
18	7	8	8	8	9	9	8	8	8	6	6	7	7	6	7	7	
5	6	6	6	6	6	6	6	5	7	7	7	7	5	5	3	4	
12	8	9	10	9	8	9	9	10	11	10	8	9	8	6	6	6	
20	6	6	5	5	5	5	5	5	5	5	5	5	5	5	6	5	
9	8	8	7	7	8	8	8	9	10	9	11	10	9	9	8	8	
25	10	12	10	11	10	9	8	8	8	8	8	9	9	8	9	8	
41	10	11	10	9	8	7	6	7	8	8	8	7	9	8	7	7	
