Productor.C.254	Est1	Est2	Est3	Est4	Est5	Est6	Est7	Est8	Est9	Est10	Est11	Est12	Est13	Est14	Est15	Est16	Total sin Superficie	Total con Superficie
26	0.42821828	0.39603022	0.4069207	0.38996962	0.39570186	0.40387607	0.40479717	0.40623334	0.37793684	0.3911387	0.3852317	0.39911023	0.402442	0.36091867	0.37636638	0.37903693	6.3039284	1592.9226
21	0.4258336	0.4065529	0.41320223	0.40526015	0.3956252	0.3956252	0.3956252	0.40830603	0.4175298	0.4175298	0.41983485	0.40254664	0.4156855	0.42457098	0.42457098	0.43499643	6.6032963	1554.3079
3	0.42536816	0.4253681	0.4253681	0.4253681	0.4177456	0.4177456	0.4177456	0.3145089	0.43328112	0.43328112	0.43328112	0.4484229	0.4636444	0.44850272	0.44850275	0.44850275	6.8266363	623.0982
7	0.4538654	0.4477056	0.4477056	0.4366259	0.42950484	0.42950475	0.4164862	0.4164862	0.43543872	0.43543872	0.43543872	0.43543863	0.4635199	0.4730036	0.4730036	0.4493239	7.0784903	1234.1378
22	0.43284917	0.37569794	0.3816366	0.38446206	0.40055063	0.40055063	0.40055066	0.4104555	0.40574285	0.39315236	0.39315236	0.396436	0.38441813	0.38174623	0.38174623	0.38224056	6.305388	1431.326
6	0.36763692	0.3486441	0.3539667	0.3459165	0.33626965	0.37040374	0.37040374	0.39660075	0.39585078	0.39585072	0.3930609	0.36521474	0.35947144	0.34008762	0.35091183	0.3590404	5.8493295	990.2812
40	0.40308598	0.38339192	0.39987594	0.3740908	0.3837375	0.37399194	0.37399194	0.366428	0.37906396	0.39040264	0.38560706	0.37778124	0.37509984	0.37509984	0.372225	0.372225	6.0860977	1779.1946
34	0.42188415	0.40575066	0.40649864	0.40729418	0.4383495	0.4383495	0.43834955	0.4079237	0.42850813	0.4308141	0.4312543	0.4135587	0.42843103	0.4185075	0.41269517	0.42918363	6.7573524	2013.4573
13	0.4396073	0.39252925	0.4091445	0.40651268	0.38407734	0.38407734	0.37766102	0.3782469	0.38896295	0.38896298	0.37445948	0.3821964	0.3540958	0.3581102	0.35455093	0.3583491	6.131544	1225.7524
29	0.48313653	0.35711536	0.36704528	0.36704525	0.35395652	0.36127666	0.36127666	0.31766045	0.3567215	0.3797731	0.37977314	0.37977314	0.37977317	0.37977314	0.37977314	0.37977314	5.983646	1576.0144
39	0.43363243	0.40260375	0.4049811	0.40237275	0.40872893	0.40872893	0.40846398	0.4024705	0.39096838	0.4081309	0.40967757	0.39968717	0.3917693	0.38493907	0.37883773	0.36526075	6.401253	3505.5881
28	0.40604287	0.40487626	0.40350407	0.37256292	0.35812512	0.36044022	0.36044022	0.36332056	0.36458495	0.36524883	0.36811617	0.37081805	0.36524338	0.36091468	0.36694857	0.36568266	5.9568696	1614.9896
38	0.39665672	0.3918283	0.38998914	0.37756154	0.3984645	0.39705417	0.38523903	0.39949307	0.40046215	0.39848867	0.40116423	0.4004998	0.3974231	0.39690462	0.3954491	0.39467642	6.3213544	3275.9832
4	0.43160206	0.42851734	0.4267759	0.39228886	0.3836193	0.38798583	0.38827342	0.3950476	0.3839183	0.3971866	0.3918474	0.3972979	0.39429972	0.40337193	0.4034011	0.39994395	6.405377	936.10425
16	0.43999222	0.40415674	0.40251458	0.4004588	0.40584013	0.40389478	0.39515436	0.39418885	0.38931838	0.39190927	0.38829678	0.3752457	0.37892044	0.3942962	0.38829482	0.39907333	6.351555	1303.2073
27	0.42486858	0.41843632	0.41110325	0.40015063	0.40760794	0.40760794	0.39293858	0.40033007	0.3927909	0.40304142	0.40304142	0.41062406	0.42769852	0.41807508	0.40444505	0.39928478	6.5220447	1785.7104
37	0.42065305	0.39504656	0.39977777	0.40111718	0.40808088	0.40808088	0.4009558	0.4009558	0.41961288	0.41961288	0.41945103	0.40635443	0.38018563	0.37473637	0.36716634	0.36369225	6.38548	2788.0625
10	0.4384621	0.4136378	0.4136378	0.40882927	0.41859505	0.41859505	0.41040212	0.40663895	0.39625093	0.3985725	0.40175518	0.40175518	0.40927717	0.4098531	0.4098531	0.4155249	6.57164	1213.9047
14	0.38777044	0.38251802	0.38251802	0.37573567	0.37900478	0.37900478	0.37661195	0.4341927	0.4396123	0.43680075	0.39062068	0.36940357	0.39628336	0.39628336	0.40030155	0.42210892	6.34877	1353.2434
2	0.41311726	0.34542358	0.34542358	0.34542364	0.3665379	0.3665379	0.3665379	0.35862872	0.3757618	0.3757618	0.37797406	0.37896907	0.36382276	0.37648773	0.37398818	0.37024924	5.9006453	457.3068
19	0.41149908	0.39254692	0.388602	0.36849323	0.3578773	0.3610717	0.3610717	0.36715233	0.36833543	0.3934051	0.3937549	0.38969576	0.3948287	0.3948287	0.3948287	0.39591715	6.1339087	1310.3893
32	0.39530432	0.38022918	0.38022918	0.38135967	0.40199116	0.38439468	0.40497592	0.4198844	0.44331074	0.4414264	0.44547945	0.42717734	0.44323322	0.43540317	0.42117727	0.4018787	6.6074553	2003.0208
33	0.39865407	0.39106077	0.38376695	0.38249692	0.39650056	0.40468553	0.4046856	0.40936193	0.43332085	0.4531365	0.43213585	0.42571464	0.4558727	0.42086822	0.40915897	0.36755207	6.5689726	1844.8862
11	0.40379122	0.38589224	0.38589224	0.3875111	0.3777124	0.38122788	0.36203516	0.37535098	0.38109133	0.38002968	0.38002968	0.37603304	0.3865824	0.40235963	0.39936814	0.38463742	6.1495447	1207.9385
8	0.43163514	0.42937925	0.42937925	0.38488358	0.37363887	0.37802646	0.3780264	0.38029325	0.38476014	0.3830626	0.4096413	0.39574137	0.40119135	0.3987851	0.39794585	0.40947902	6.365869	1086.2109
23	0.40123123	0.385569	0.38645694	0.3840968	0.38282478	0.3828248	0.38020906	0.3940469	0.4023586	0.403353	0.40539277	0.4011655	0.3995579	0.4063069	0.40630683	0.40180185	6.323503	1554.2744
1	0.481233	0.47382236	0.47382236	0.4570866	0.44373885	0.41623503	0.41765365	0.41765365	0.39461413	0.39461413	0.39869	0.38624957	0.38161105	0.3762058	0.3729467	0.37634757	6.6625237	531.1836
36	0.41476718	0.3993568	0.4075312	0.3983055	0.40571028	0.40828487	0.40734273	0.40672514	0.40603107	0.4031751	0.40443277	0.4019075	0.38870877	0.38725227	0.392791	0.39095753	6.4232793	2473.8088
24	0.4235178	0.39163947	0.39163947	0.39223197	0.38950107	0.38168302	0.38121969	0.3839697	0.36890528	0.38433406	0.38515586	0.38851103	0.39578298	0.39057797	0.3940659	0.3948851	6.2376204	1487.257
30	0.4034086	0.395083	0.40708357	0.40365842	0.40185717	0.40250522	0.39538246	0.39538246	0.39068586	0.39068586	0.39068586	0.3813886	0.33991325	0.35207903	0.35027084	0.35960776	6.1596775	1806.2706
15	0.39120114	0.37091956	0.3709196	0.35210726	0.3865709	0.3865709	0.3771214	0.39973688	0.40235034	0.3953367	0.39533672	0.39533952	0.40051997	0.41074514	0.40801403	0.40871555	6.2515054	1273.3696
31	0.44460782	0.3986135	0.3982205	0.38635653	0.3867592	0.3867592	0.3924643	0.40175247	0.41766316	0.41490558	0.4157191	0.41518885	0.406036	0.40013337	0.40013337	0.40110183	6.4664145	1785.4653
35	0.423068	0.40122584	0.39883095	0.40053952	0.3950763	0.39507627	0.3799428	0.38195607	0.37953824	0.388985	0.38561735	0.3858392	0.38970166	0.38155383	0.38017645	0.37886018	6.2459874	2194.8347
17	0.40784672	0.40784672	0.40784672	0.39896858	0.39896858	0.3885525	0.41064304	0.41705096	0.39757895	0.39532745	0.39685366	0.3980282	0.40472504	0.40472504	0.39672536	0.38356537	6.4152527	1431.8684
18	0.42641485	0.41715527	0.42272234	0.42265257	0.42769575	0.42769575	0.42769566	0.4134236	0.42696512	0.42349654	0.42001498	0.43068707	0.42348778	0.4056249	0.39597514	0.3972669	6.708974	1435.0503
5	0.4136221	0.4136221	0.4054146	0.4054146	0.4054146	0.4054146	0.4054146	0.4054146	0.39539015	0.39539015	0.3905516	0.35958892	0.3788982	0.3788982	0.3788982	0.34394234	6.281289	974.30347
12	0.43700445	0.38992885	0.3875662	0.34853595	0.34840855	0.34840855	0.34840855	0.3607621	0.35942566	0.37948996	0.38764176	0.39922807	0.3913222	0.39132228	0.39132228	0.41131604	6.080091	1183.6708
20	0.4312561	0.39393833	0.38413957	0.38758424	0.40222856	0.40222856	0.4030031	0.4030031	0.38351122	0.37788254	0.37788254	0.3800462	0.36858964	0.3685896	0.3685896	0.3685896	6.201062	1186.5928
9	0.45173913	0.45173913	0.44901413	0.4511485	0.4332268	0.4508104	0.41871214	0.41386458	0.4096192	0.4096192	0.4096192	0.4096192	0.3920524	0.3840169	0.3840169	0.3898728	6.7086906	1115.1205
25	0.43608382	0.3932007	0.39471942	0.37019423	0.36768165	0.36768162	0.3685878	0.37246758	0.41153967	0.41153967	0.42434594	0.4276604	0.41943684	0.3962451	0.37252903	0.36994326	6.3038564	1322.099
41	0.4392045	0.41113037	0.41966617	0.40398645	0.40874767	0.40874767	0.40623274	0.42079896	0.42524147	0.41731	0.41703922	0.41144648	0.41646644	0.41366097	0.413661	0.40701574	6.640356	2138.917
