Productor.C.254	Est1	Est2	Est3	Est4	Est5	Est6	Est7	Est8	Est9	Est10	Est11	Est12	Est13	Est14	Est15	Est16	Total sin Superficie	Total con Superficie
26	1736.2601	636.46454	3387.6907	1646.4171	1388.9464	1604.0986	2932.4795	2107.4282	1398.5985	2005.3914	2738.8352	1196.6182	2174.978	1720.2128	2540.735	1359.6202	30574.773	7725856.0
21	1632.4402	1736.0907	3391.1082	1958.2314	1525.593	1653.3746	2937.6406	1629.7296	1537.7688	2450.0623	2064.9158	1882.2836	1487.0145	1957.8202	2739.5828	1304.0288	31887.686	1.5231697E7
3	2271.737	853.66266	3276.6301	1943.2948	1159.7587	2711.981	2481.1746	2226.3777	1363.8558	1392.8718	1843.2397	2037.6218	978.36395	1624.164	1802.6904	1874.8416	29842.264	1.7955536E7
7	2493.0244	669.19165	5810.405	1459.4839	830.14417	1766.18	2399.408	1813.8239	1151.0767	1963.9713	2519.9434	1476.4028	1304.3715	2216.9373	2367.9807	1282.4154	31524.76	2.3451892E7
22	1884.218	1042.7181	2424.5432	1577.0173	860.0456	2058.5603	2309.9805	1836.1719	1977.7476	1470.9043	2624.207	1769.4984	1769.5228	1660.0874	2586.9065	2188.0767	30040.205	3.0271028E7
6	1027.6511	816.11774	2601.9875	1767.7108	1637.638	1706.3086	3108.2058	1591.4796	1193.7567	2098.1167	2394.4536	1608.607	1230.8107	1425.0054	2482.1438	1641.793	28331.787	3.5067556E7
40	568.3649	982.5543	5197.1113	2159.9526	1753.47	1606.2849	3262.688	1422.2358	1161.0231	1667.6578	2477.0322	2078.092	1527.4542	1767.3007	2613.444	1298.4763	31543.143	4.42888E7
34	1995.3064	1494.8857	3669.4014	1484.9386	2193.5312	1338.3652	2993.0059	1663.3633	1381.9026	2014.8307	3123.2341	2166.447	1797.1807	1740.7318	2572.7263	1867.7922	33497.64	5.4269936E7
13	2018.2476	890.816	4974.79	1735.4473	978.48816	1814.1212	2595.1782	1695.0637	1335.5222	2002.4623	2569.221	1261.8126	1572.4548	3568.4426	2615.7642	1377.197	33005.027	6.0867956E7
29	2894.513	669.4609	2513.4731	2058.7197	1510.4391	2100.5354	2119.5347	2788.5425	1521.775	2521.3765	976.5666	2190.4338	1446.1382	927.6445	1131.2506	2530.7732	29901.178	6.8743536E7
39	1199.3538	1555.7843	2473.402	2078.1777	1699.6945	1589.0365	2333.9116	2086.153	1439.7616	1255.8567	2926.1787	1847.1392	1700.6685	1517.7592	2412.6663	1958.3961	30073.938	8.5213248E7
28	1711.1913	2213.7947	2780.5906	986.81934	1857.4099	2309.195	2379.5698	1821.9973	2264.5662	2015.2125	2091.3428	1555.0281	1421.1534	2182.1504	1800.659	1425.7118	30816.389	9.3568E7
38	1021.8028	1960.0844	2993.9478	1409.2504	1937.4113	1824.4218	3014.923	1800.6354	1947.6759	1602.6321	2347.246	1641.7618	2321.1555	1971.3788	2415.548	1549.4495	31759.328	1.1002696E8
4	1592.0309	1979.5168	3048.7637	1424.6387	1248.8867	1636.4941	2614.8833	1575.4978	1354.0311	1681.7577	2302.3447	1536.1313	1932.7423	1918.2853	2215.7083	1558.6183	29620.334	1.14355776E8
16	1989.9829	798.8582	3299.8967	1458.5862	1356.9014	2188.7505	2601.4368	2149.7563	1556.7839	2268.376	1752.9349	1221.4003	1294.7665	2377.4238	2094.9597	1508.0214	29918.834	1.20494504E8
27	1649.8754	1550.2771	3208.806	1457.9489	2988.1487	2261.0815	2167.0945	1593.5095	2126.349	2201.7551	1945.4342	2141.5684	1907.9174	1988.9312	2122.469	1556.7393	32867.906	1.29493608E8
37	1377.6165	2217.4216	2697.064	1447.3947	2164.9478	1396.8226	2630.4092	1770.7311	2135.3748	1106.9354	2515.6763	1705.0626	1913.5548	2813.3445	2250.6016	1525.6388	31668.594	1.43320912E8
10	2142.8516	1177.86	4300.6514	1774.7355	1257.8712	1233.8518	2654.4512	1421.5087	1465.0958	1898.1483	2634.4656	1429.1301	1561.5774	1566.4604	3042.357	1781.2505	31342.268	1.491104E8
14	896.0957	936.20447	3449.166	1499.9158	1552.1979	1606.9541	3023.8564	1126.898	930.05475	3660.6804	2919.6497	997.13165	1156.745	1878.0974	2159.6567	1133.8354	28927.139	1.5527624E8
2	1797.4197	565.7585	1708.172	1342.5116	1270.7233	1507.2842	2833.3276	1623.0138	2106.7874	1747.3707	2557.0618	1622.1194	1567.92	1892.5259	1765.0062	1571.2405	27478.242	1.57405824E8
19	1634.5212	911.8348	3786.3022	1350.4281	1300.7361	1851.1693	2600.7812	1585.4253	1326.5739	2003.9369	2074.9307	1306.1849	1844.1958	2640.5713	2246.0403	1488.5579	29952.193	1.63804512E8
