Productor.C.254	Est1	Est2	Est3	Est4	Est5	Est6	Est7	Est8	Est9	Est10	Est11	Est12	Est13	Est14	Est15	Est16
26	6	7	7	6	7	7	7	6	7	7	6	6	6	6	6	6	
21	8	10	9	7	8	8	7	6	6	6	6	5	6	6	7	5	
3	4	4	4	3	3	3	3	3	4	4	4	4	4	3	3	2	
7	3	3	3	3	3	3	3	3	4	4	4	3	4	4	4	4	
22	7	7	7	6	7	7	7	7	8	7	6	7	7	7	7	5	
6	8	8	8	7	6	6	6	6	7	7	6	6	8	8	8	7	
40	7	7	7	6	6	6	6	5	6	5	4	4	5	5	5	5	
34	9	11	10	8	8	8	9	9	9	9	8	7	7	7	7	7	
13	8	9	9	8	7	7	6	7	8	7	7	9	9	9	7	8	
29	3	7	6	6	5	5	4	4	4	4	3	3	3	4	4	4	
39	10	11	12	9	10	9	8	8	9	8	6	6	8	7	6	7	
28	10	10	10	8	8	8	8	9	10	11	10	9	11	10	8	8	
38	12	12	12	10	11	9	7	7	11	11	10	9	10	10	9	10	
4	9	10	10	8	8	7	7	7	8	8	8	8	8	8	7	8	
16	9	10	9	8	8	8	7	8	7	7	5	6	7	8	8	8	
27	8	7	8	7	8	8	7	8	9	8	8	8	7	7	9	9	
37	8	10	9	8	10	9	8	7	7	7	7	7	7	8	7	8	
10	8	9	9	8	8	8	8	10	9	9	8	8	7	6	6	7	
14	7	7	7	7	7	7	6	7	7	7	6	6	6	4	5	5	
2	5	5	5	4	4	4	4	3	3	3	3	3	4	4	4	5	
19	8	9	9	8	7	7	7	8	7	6	6	6	8	7	7	10	
32	10	10	10	9	7	7	6	6	5	5	5	5	5	5	5	6	
33	9	10	11	9	7	7	7	7	7	7	7	7	7	6	5	5	
11	5	6	6	7	8	8	7	6	8	8	7	7	9	8	8	9	
8	7	7	6	6	8	8	7	7	10	10	9	7	7	7	6	6	
23	9	10	8	8	10	10	9	8	8	7	6	6	8	8	9	8	
1	5	5	5	5	6	6	6	8	7	6	6	6	5	6	6	7	
36	10	11	10	8	8	8	8	8	9	10	9	8	8	7	7	7	
24	10	11	9	8	9	9	8	8	8	8	8	9	8	8	9	8	
30	5	5	6	5	5	5	5	5	6	5	5	5	5	5	5	6	
15	9	9	9	7	9	9	8	9	9	9	8	9	9	7	8	7	
31	9	10	10	7	9	8	7	7	9	7	7	7	7	6	6	7	
35	11	11	10	8	9	9	9	9	10	9	10	8	8	8	8	8	
17	7	7	7	7	7	7	7	7	6	6	6	6	7	7	7	6	
18	9	8	7	6	5	4	4	6	6	6	5	6	5	5	3	4	
5	6	6	6	6	6	6	5	6	7	8	6	5	7	7	6	5	
12	7	9	9	7	7	7	6	6	7	6	6	5	6	5	5	5	
20	6	7	7	8	9	9	9	8	7	7	7	7	7	7	8	7	
9	10	8	7	7	6	6	6	6	8	8	7	7	7	7	6	5	
25	8	10	9	8	7	6	6	6	8	8	9	7	8	8	7	8	
41	7	9	8	8	7	7	6	7	10	10	9	8	8	8	7	7	
