Productor.C.254	Est1	Est2	Est3	Est4	Est5	Est6	Est7	Est8	Est9	Est10	Est11	Est12	Est13	Est14	Est15	Est16	Total sin Superficie	Total con Superficie
26	0.4313649	0.43259582	0.43259582	0.4132896	0.41870138	0.41870138	0.41870138	0.4169877	0.40014797	0.40428624	0.40576062	0.4077383	0.3862242	0.37521225	0.3752122	0.37701663	6.5145364	1646.1406
21	0.4539334	0.43705657	0.44094026	0.43076602	0.4176183	0.40878004	0.41133735	0.42203945	0.4026849	0.4026849	0.39376274	0.38764697	0.40953258	0.406514	0.40063915	0.39652425	6.6224613	1558.8192
3	0.4294667	0.37079263	0.37079263	0.35262245	0.35262257	0.35262257	0.35262257	0.35262254	0.3721657	0.3721657	0.3721657	0.37663275	0.39457986	0.37056965	0.37056965	0.3342169	5.8972306	538.2669
7	0.4538654	0.39915362	0.39915362	0.37196687	0.3575531	0.3575531	0.3575531	0.35755306	0.3853226	0.3853226	0.38532254	0.37015423	0.39051384	0.39051384	0.39051384	0.4012621	6.1532774	1072.8265
22	0.42612475	0.41338772	0.4133878	0.39538243	0.40022576	0.40022576	0.40022576	0.4012615	0.38916674	0.38474822	0.38651288	0.3881883	0.39060676	0.39060676	0.39060676	0.3937974	6.3644557	1444.7344
6	0.37885052	0.35542887	0.35542887	0.34920624	0.36217576	0.36217576	0.36217567	0.37810716	0.3911312	0.3911312	0.37638408	0.37713873	0.37456292	0.408697	0.408697	0.40629622	6.037587	1022.1528
40	0.38694832	0.37169504	0.36813238	0.36539498	0.36539498	0.36539498	0.36539498	0.377041	0.34554216	0.3549253	0.35259584	0.35259578	0.3573534	0.35735336	0.38313854	0.38716465	5.8560658	1711.9475
34	0.4292628	0.4143585	0.42196777	0.42035374	0.4169662	0.4169662	0.41709006	0.4096941	0.42479736	0.4257649	0.4273286	0.4276761	0.40689236	0.39948484	0.396042	0.39742827	6.652074	1982.0881
13	0.4473916	0.39610696	0.39610696	0.39404318	0.37541348	0.37541348	0.37031844	0.37546733	0.38173562	0.37744778	0.37744778	0.40745443	0.39499933	0.39499933	0.40110356	0.39261234	6.258062	1251.0444
29	0.51392025	0.39430138	0.4157617	0.41278374	0.40739977	0.40739977	0.40390068	0.40390068	0.42695233	0.42695233	0.42695233	0.42695233	0.4269523	0.44074723	0.44074723	0.44074723	6.8163714	1795.3429
39	0.45305327	0.4274148	0.4284665	0.37837	0.3862549	0.3886958	0.38919184	0.38919187	0.38791776	0.39067507	0.37952277	0.38584337	0.38558415	0.375912	0.3763643	0.37644124	6.2988997	3449.5354
28	0.43209952	0.4220431	0.42403677	0.3788368	0.37102455	0.37102455	0.37102455	0.37111485	0.37311053	0.38249224	0.38236922	0.37930095	0.37081212	0.37441695	0.37069714	0.36502686	6.1394305	1664.4844
38	0.42345077	0.41245934	0.41562253	0.41499215	0.40982568	0.40982804	0.39271998	0.3969244	0.40100792	0.40100792	0.39513528	0.39087832	0.3816142	0.384248	0.38397798	0.38006327	6.393755	3313.5046
4	0.44430387	0.43008345	0.43008348	0.40066132	0.39797664	0.37260386	0.37260386	0.38091615	0.4007208	0.4007208	0.4007208	0.3859094	0.3888171	0.38189033	0.3848283	0.37887257	6.3517127	928.2614
16	0.46249467	0.41159725	0.41204867	0.3795342	0.40355104	0.40355107	0.40502104	0.38408273	0.41038954	0.40675262	0.3985671	0.39961758	0.3901017	0.38993242	0.38916343	0.38683894	6.4332447	1319.968
27	0.4398459	0.41557387	0.4135745	0.41087326	0.41197005	0.41197005	0.37938938	0.38496208	0.39988327	0.39812943	0.40953267	0.40353757	0.39963156	0.39963156	0.39810807	0.3968246	6.4734373	1772.4023
37	0.42251137	0.40907	0.41051748	0.39957184	0.4196072	0.4074387	0.416783	0.41231918	0.4123591	0.4123591	0.4123591	0.41930014	0.40617567	0.39746383	0.40151623	0.40406352	6.563416	2865.7534
10	0.41831475	0.40364346	0.40364346	0.3983416	0.40580708	0.40580708	0.40580702	0.40573925	0.4288525	0.40804023	0.39319882	0.4015712	0.38905674	0.38446015	0.38446018	0.37958485	6.416328	1185.2157
14	0.38707018	0.37062728	0.3691437	0.36914372	0.3633974	0.3633974	0.35994962	0.37283224	0.36897793	0.36897793	0.36521605	0.365216	0.36521596	0.36268833	0.36664465	0.36664468	5.8851438	1254.421
2	0.4117215	0.41572312	0.41572312	0.35593697	0.36477795	0.36477795	0.36477795	0.38989276	0.3991268	0.3991268	0.3991268	0.38721764	0.37619206	0.37619203	0.37619203	0.39898852	6.1954947	480.15778
19	0.4119707	0.40368408	0.40368408	0.38980177	0.3868039	0.38680393	0.38251862	0.3969469	0.40313566	0.40592256	0.41408327	0.41408327	0.41761112	0.4177732	0.4177732	0.40456396	6.4571605	1379.4457
32	0.40814576	0.37075898	0.37075895	0.37252897	0.3969951	0.3969951	0.3915629	0.40037245	0.3688477	0.39243793	0.39243805	0.392438	0.38776657	0.38776657	0.38776657	0.40494168	6.2225204	1886.3296
33	0.410999	0.40572464	0.40321168	0.3651138	0.40169302	0.40169302	0.40169302	0.40169302	0.3869962	0.3957339	0.4033468	0.4033468	0.3752075	0.38239798	0.3765884	0.37884971	6.2942886	1767.7417
11	0.43631703	0.41293702	0.41293702	0.40113643	0.40550217	0.40550217	0.38921243	0.40576977	0.37739176	0.37739176	0.37626764	0.37626764	0.3886199	0.3906349	0.39063492	0.39948633	6.346009	1246.5293
8	0.40605286	0.39690915	0.39859352	0.39859352	0.39589357	0.39589357	0.39654055	0.40066445	0.43548158	0.4393917	0.44544825	0.39518023	0.38375068	0.38375074	0.38516456	0.38516456	6.4424744	1099.282
23	0.42955816	0.40229493	0.41132134	0.41132134	0.4019485	0.4019485	0.40142506	0.39594755	0.40213326	0.40189874	0.406536	0.40653598	0.39247185	0.3901418	0.38984975	0.38987562	6.4352083	1581.731
1	0.43775424	0.39397228	0.3939723	0.3939723	0.38903034	0.38903034	0.38903034	0.41871822	0.4152689	0.427965	0.42796496	0.37621394	0.42940202	0.39090762	0.41595417	0.43060806	6.519766	519.8018
36	0.4189823	0.39228466	0.4076537	0.38800833	0.37875298	0.36338395	0.37875298	0.38101918	0.39293745	0.39516488	0.39533585	0.3787378	0.39351085	0.39205495	0.39205495	0.392055	6.24069	2403.4875
24	0.4319097	0.41460663	0.41910857	0.38352266	0.37990335	0.38478592	0.3838616	0.38432908	0.39532968	0.39955017	0.39820322	0.4142163	0.4227221	0.42605853	0.4157093	0.4163412	6.470159	1542.7015
30	0.38290668	0.3623722	0.36522895	0.3616621	0.36693758	0.36693758	0.36693758	0.40013632	0.3928965	0.3934992	0.38693634	0.3838294	0.38382944	0.38382944	0.38382944	0.36081272	6.042582	1771.9331
15	0.40377885	0.3763603	0.3763603	0.36967486	0.39904407	0.39904407	0.40057844	0.4140083	0.40174958	0.40174958	0.40640002	0.41295335	0.41152766	0.3861444	0.39169255	0.38225248	6.333319	1290.0343
31	0.4439023	0.41945297	0.41945297	0.41648337	0.39204013	0.40402877	0.40201998	0.40423864	0.4017892	0.40924695	0.407736	0.41945916	0.38967305	0.39143017	0.39282086	0.39073092	6.504506	1795.9827
35	0.44241613	0.40080383	0.4062201	0.39479908	0.41171533	0.41171542	0.40398178	0.41611367	0.41627604	0.42272305	0.39812285	0.39510205	0.37294385	0.3705488	0.37224808	0.37160248	6.4073324	2251.5315
17	0.36504856	0.37903535	0.37903535	0.38251868	0.38703233	0.38703233	0.3777021	0.3777021	0.3887488	0.3887488	0.3887488	0.3887488	0.43053842	0.43053842	0.43053842	0.4246948	6.3064117	1407.5754
18	0.40279686	0.3867819	0.37935907	0.3736663	0.36862057	0.37151632	0.37151632	0.41842356	0.43080932	0.43080932	0.43256995	0.44359717	0.44845292	0.42240056	0.43264493	0.43795714	6.5519223	1401.457
5	0.39073384	0.39073384	0.42646235	0.42646235	0.42610148	0.39037296	0.40344754	0.41548318	0.41533884	0.40546897	0.43093404	0.4085217	0.3972729	0.3972729	0.40100265	0.39150372	6.517114	1010.8824
12	0.438888	0.4067687	0.42331406	0.36597052	0.36854932	0.35200396	0.3580586	0.36674124	0.36788562	0.37117857	0.38688093	0.38757426	0.38868305	0.3954188	0.3829349	0.37957895	6.1404295	1195.4175
20	0.42442465	0.4198344	0.4198344	0.406229	0.4363791	0.4363791	0.4363791	0.44120306	0.4452585	0.4452585	0.40924606	0.41031748	0.4187817	0.38786525	0.4265927	0.40320978	6.767193	1294.9236
9	0.44786647	0.4358789	0.4280052	0.42024472	0.43152082	0.43152082	0.43152082	0.43152082	0.42987683	0.42987683	0.43201813	0.42846984	0.4133859	0.41272444	0.40361154	0.40944114	6.8174834	1133.2037
25	0.42504627	0.3868193	0.39139134	0.38915443	0.36604387	0.3698104	0.3698104	0.39107066	0.41115797	0.41115797	0.41076013	0.41538918	0.41420448	0.41126022	0.40285617	0.41367164	6.379604	1337.9854
41	0.43160275	0.37167743	0.37888706	0.37846535	0.3690959	0.3690959	0.3672508	0.37896767	0.38750374	0.41909173	0.41568175	0.41156733	0.40803042	0.40803042	0.40723908	0.3699176	6.2721047	2020.3002
