Productor.C.254	Est1	Est2	Est3	Est4	Est5	Est6	Est7	Est8	Est9	Est10	Est11	Est12	Est13	Est14	Est15	Est16	Total sin Superficie	Total con Superficie
26	1805.6522	898.8386	3355.4812	1656.8013	1087.7126	1332.058	2609.268	1823.0171	1429.4617	1497.0638	2201.5928	1755.7974	1519.2537	1247.4464	2266.1477	1765.4076	28251.0	7138667.5
21	1640.5035	2045.9698	3366.0935	1707.4662	3142.7905	1755.1255	2523.9731	1873.7177	1559.3828	2204.5698	2272.7434	1730.5479	1641.5017	2382.676	2302.6912	1431.8027	33581.555	1.5043219E7
3	2271.737	894.6483	4112.6187	228.56099	879.7958	2136.8247	2439.6274	1725.485	1464.0698	2350.658	2435.203	661.46344	2237.3796	2619.2795	2058.6768	1362.2876	29878.314	1.7770348E7
7	2493.0244	669.19165	3938.8765	2031.6873	1069.9861	1669.4664	2479.1108	1956.1785	1210.3322	2051.208	2172.7346	1597.9827	839.90607	1555.3109	2199.3464	1759.2948	29693.637	2.2947446E7
22	1891.3821	1216.5519	4433.52	1540.3092	1485.6571	2433.907	2882.8533	1728.3604	1790.8263	1878.6622	2112.3296	1802.5244	1522.5151	1593.017	2233.2563	1619.7698	32165.445	3.0249014E7
6	1238.0116	1122.1669	3029.5671	1185.345	1417.248	1577.7908	2641.3508	1551.2335	2013.3933	1676.6055	2554.7815	1128.8004	990.7346	1443.9226	3129.4324	1068.86	27769.242	3.4950296E7
40	762.72595	1346.4648	2939.5852	1543.0275	1799.9633	1890.0204	3134.9795	1362.3442	1116.6012	1631.4543	1689.7695	1721.8219	1272.6123	2804.7793	2079.743	1671.9777	28767.871	4.3360224E7
34	1680.8188	1568.0293	3283.0803	1425.4799	1403.7734	1646.576	2991.6992	1588.4589	1467.5746	1501.5278	2583.0527	1487.758	1285.3915	1410.0885	2637.3682	1621.8027	29582.479	5.217478E7
13	1999.862	727.9832	3035.7234	2021.7708	967.6792	1965.3822	2591.737	1894.5591	1456.3865	1514.508	2355.63	2089.7913	1611.7755	2307.812	1923.7305	2737.5881	31201.916	5.8412332E7
29	2634.8027	600.32	2655.05	2166.8345	2323.7761	1753.3141	2381.048	2530.2883	1732.956	1569.9504	1582.6364	2272.2527	2124.137	1078.9786	3626.0344	2198.235	33230.617	6.7164832E7
